TIC,P_your,EPIC,P_k2,sep_arcsec
332024125,20.239,212157262,20.34,0.026884016096952887
397022282,21.062,201677835,20.21,0.06330266574672089
49040478,6.28,205117205,6.25,0.03596659964698686
11023038,17.552,218916923,17.3,0.07875117473880708
301610040,11.428,201497682,11.68,0.03497583457859888
18310799,14.768,247589423,14.68,0.04717304912749604
436575927,28.531,246876040,28.57,0.03727487003445193
363444743,14.294,201833600,14.03,0.06853466953897366
61312205,36.279,248861279,34.25,0.06649879975039305
432247315,10.868,249801827,10.98,0.014767543609630406
443616612,9.763,201205469,9.89,0.05597323632975345
903075188,21.062,201757695,21.02,0.07772959934960194
61312205,36.279,248861279,34.25,0.06649879975039305
432247315,10.868,249801827,10.98,0.014767543609630406
443616612,9.763,201205469,9.89,0.05597323632975345
903075188,21.062,201757695,21.02,0.07772959934960194
